storey,floor area (sqm),flat model,remaining lease (yr),resale price ($),resale registration date,area,lat,lng,nearest_mall,nearest_mall_dist,nearest_MRT,nearest_MRT_dist,dist_to_Orchard
23,60,Dbss,92.25,450000,Oct-21,Clementi,1.3194852,103.7656216,The Clementi Mall Singapore,0.5283992573305987,Clementi MRT,0.45573355508540264,7.5519222032137145
17,60,Dbss,92.25,550000,Oct-21,Clementi,1.3194852,103.7656216,The Clementi Mall Singapore,0.5283992573305987,Clementi MRT,0.45573355508540264,7.5519222032137145
35,60,Dbss,92.33,567000,Oct-21,Clementi,1.3194852,103.7656216,The Clementi Mall Singapore,0.5283992573305987,Clementi MRT,0.45573355508540264,7.5519222032137145
38,68,Model A,95.08,603000,Oct-21,Clementi,1.3220646,103.7625436,The Clementi Mall Singapore,0.8185376124186019,Clementi MRT,0.7904725918051558,7.953008514399952
38,68,Model A,95.0,610000,Oct-21,Clementi,1.3220646,103.7625436,The Clementi Mall Singapore,0.8185376124186019,Clementi MRT,0.7904725918051558,7.953008514399952
20,60,Dbss,92.33,508000,Sep-21,Clementi,1.3194852,103.7656216,The Clementi Mall Singapore,0.5283992573305987,Clementi MRT,0.45573355508540264,7.5519222032137145
26,60,Dbss,92.33,568000,Sep-21,Clementi,1.3194852,103.7656216,The Clementi Mall Singapore,0.5283992573305987,Clementi MRT,0.45573355508540264,7.5519222032137145
17,75,Model A,91.17,598000,Aug-21,Clementi,1.3096132,103.7706461,321 Clementi Singapore,0.6804549364174047,Clementi MRT,0.8946338108378171,6.823114553015422
17,69,Model A,95.08,570000,Aug-21,Clementi,1.3197115,103.7644447,The Clementi Mall Singapore,0.5332266205360529,Clementi MRT,0.4820600100485122,7.685046230717792
29,70,Model A,90.0,638000,Jul-21,Clementi,1.314864,103.764058,The Clementi Mall Singapore,0.028530473464956383,Clementi MRT,0.12935622244090397,7.623175780698128
23,60,Dbss,92.5,548000,Jul-21,Clementi,1.3190461,103.7656216,The Clementi Mall Singapore,0.48166121218807006,Clementi MRT,0.4073893808084421,7.540942056867238
17,61,Model A,80.75,410000,Jun-21,Clementi,1.3125343,103.7717325,321 Clementi Singapore,0.7501929293744154,Dover MRT,0.774811818999496,6.7408491467243605
17,73,Model A,91.42,561000,May-21,Clementi,1.3091484,103.7686997,321 Clementi Singapore,0.5181809728566945,Clementi MRT,0.805481061405996,7.034217542436641
23,61,Model A,80.83,452000,May-21,Clementi,1.3129376,103.7715967,Grantral Mall Singapore,0.7315143342456244,Clementi MRT,0.775495923872014,6.762238140333775
17,61,Model A,80.92,400000,Apr-21,Clementi,1.3129376,103.7715967,Grantral Mall Singapore,0.7315143342456244,Clementi MRT,0.775495923872014,6.762238140333775
20,73,Model A,91.58,536888,Mar-21,Clementi,1.3091484,103.7686997,321 Clementi Singapore,0.5181809728566945,Clementi MRT,0.805481061405996,7.034217542436641
17,60,Dbss,92.92,540000,Feb-21,Clementi,1.3190461,103.7656216,The Clementi Mall Singapore,0.48166121218807006,Clementi MRT,0.4073893808084421,7.540942056867238
26,60,Dbss,92.92,548000,Feb-21,Clementi,1.3199163,103.7657374,The Clementi Mall Singapore,0.5780268715514255,Clementi MRT,0.504993080662092,7.550478361602268
38,60,Dbss,92.83,565000,Feb-21,Clementi,1.3199163,103.7657374,The Clementi Mall Singapore,0.5780268715514255,Clementi MRT,0.504993080662092,7.550478361602268
23,60,Dbss,92.92,518000,Jan-21,Clementi,1.3190461,103.7656216,The Clementi Mall Singapore,0.48166121218807006,Clementi MRT,0.4073893808084421,7.540942056867238
26,60,Dbss,93.0,543000,Jan-21,Clementi,1.3190461,103.7656216,The Clementi Mall Singapore,0.48166121218807006,Clementi MRT,0.4073893808084421,7.540942056867238
38,60,Dbss,93.0,538888,Jan-21,Clementi,1.3199163,103.7657374,The Clementi Mall Singapore,0.5780268715514255,Clementi MRT,0.504993080662092,7.550478361602268
20,61,Model A,81.25,400000,Dec-20,Clementi,1.3125343,103.7717325,321 Clementi Singapore,0.7501929293744154,Dover MRT,0.774811818999496,6.7408491467243605
23,60,Dbss,93.08,555000,Dec-20,Clementi,1.3194852,103.7656216,The Clementi Mall Singapore,0.5283992573305987,Clementi MRT,0.45573355508540264,7.5519222032137145
41,60,Dbss,93.08,530000,Dec-20,Clementi,1.3199163,103.7657374,The Clementi Mall Singapore,0.5780268715514255,Clementi MRT,0.504993080662092,7.550478361602268
17,60,Dbss,93.08,530000,Dec-20,Clementi,1.3199163,103.7657374,The Clementi Mall Singapore,0.5780268715514255,Clementi MRT,0.504993080662092,7.550478361602268
36,60,Dbss,93.17,465000,Nov-20,Clementi,1.3190461,103.7656216,The Clementi Mall Singapore,0.48166121218807006,Clementi MRT,0.4073893808084421,7.540942056867238
