block,street name,storey,floor area (sqm),flat model,lease commence year,remaining lease (yr),resale price ($),resale registration date,rank town,flat type
289B,PUNGGOL PL,04 TO 06,73,Premium Apartment,2013,9.17,370000,2019-07,0.0573088,3 ROOM
289B,PUNGGOL PL,10 TO 12,70,Premium Apartment,2013,9.17,375000,2019-07,0.0573088,3 ROOM
623C,PUNGGOL CTRL,01 TO 03,69,Model A,2014,9.25,326000,2019-08,0.0573088,3 ROOM
208B,PUNGGOL PL,04 TO 06,67,Model A,2014,9.25,340000,2019-08,0.0573088,3 ROOM
210B,PUNGGOL PL,04 TO 06,67,Model A,2014,9.33,355000,2019-08,0.0573088,3 ROOM
212B,PUNGGOL WALK,07 TO 09,67,Model A,2015,9.33,358000,2019-08,0.0573088,3 ROOM
623A,PUNGGOL CTRL,16 TO 18,69,Model A,2014,9.25,362000,2019-08,0.0573088,3 ROOM
312A,SUMANG LINK,10 TO 12,68,Model A,2015,9.33,365000,2019-08,0.0573088,3 ROOM
313A,SUMANG LINK,13 TO 15,68,Model A,2015,9.33,368000,2019-08,0.0573088,3 ROOM
266C,PUNGGOL WAY,04 TO 06,67,Model A,2015,9.33,325000,2019-09,0.0573088,3 ROOM
622A,PUNGGOL CTRL,10 TO 12,69,Model A,2014,9.25,335000,2019-09,0.0573088,3 ROOM
312A,SUMANG LINK,07 TO 09,68,Model A,2015,9.33,355000,2019-09,0.0573088,3 ROOM
305A,PUNGGOL RD,13 TO 15,67,Premium Apartment,2012,9.08,385000,2019-09,0.0573088,3 ROOM
622A,PUNGGOL CTRL,13 TO 15,69,Model A,2014,9.25,320000,2019-10,0.0573088,3 ROOM
603C,PUNGGOL RD,04 TO 06,68,Model A,2012,9.08,320000,2019-10,0.0573088,3 ROOM
211C,PUNGGOL WALK,13 TO 15,67,Model A,2014,9.25,355000,2019-10,0.0573088,3 ROOM
212A,PUNGGOL WALK,13 TO 15,67,Model A,2015,9.33,355000,2019-10,0.0573088,3 ROOM
289A,PUNGGOL PL,10 TO 12,70,Premium Apartment,2013,9.17,360000,2019-10,0.0573088,3 ROOM
623B,PUNGGOL CTRL,16 TO 18,69,Model A,2014,9.25,362000,2019-10,0.0573088,3 ROOM
211B,PUNGGOL WALK,13 TO 15,67,Model A,2014,9.25,363000,2019-10,0.0573088,3 ROOM
259B,PUNGGOL FIELD,13 TO 15,68,Model A,2016,9.42,380000,2019-10,0.0573088,3 ROOM
288B,PUNGGOL PL,13 TO 15,70,Premium Apartment,2013,9.17,388888,2019-10,0.0573088,3 ROOM
